Description	Symbol	Alt Code Shortcut
To the Power of 0	⁰	2070, Alt+X
To the Power of 1	¹	Alt+0185
To the Power of 2	²	Alt+0178
To the Power of 3	³	Alt+0179
To the Power of 4	⁴	2074, Alt+X
To the Power of 5	⁵	2075, Alt+X
To the Power of 6	⁶	2076, Alt+X
To the Power of 7	⁷	2077, Alt+X
To the Power of 8	⁸	2078, Alt+X
To the Power of 9	⁹	2079, Alt+X
To the Power of n	ⁿ	207F, Alt+X
